"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"468",186,"Weighted Unifrac","Tam et al. 2020","Control_cecal","control","control","cecal",10,10,0.044194268,0.022668383,0.017024055,0.015344162,-1.27201817,0.249749798,"Tam","no","no","no","no","control"
"469",242,"Weighted Unifrac","Tashiro et al. 2020","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.00759852,0.008461533,0.003762722,0.005529705,0.172492151,0.251212893,"Tashiro","no","no","no","yes","treatment"
"470",246,"Weighted Unifrac","Tashiro et al. 2020","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.023778155,0.03129737,0.021952949,0.021439404,0.327584174,0.254374513,"Tashiro","no","no","no","yes","treatment"
"471",250,"Weighted Unifrac","Tashiro et al. 2020","Control","control","control","fecal",8,8,0.008601022,0.002908102,0.006643097,0.002477837,-1.073390659,0.296967719,"Tashiro","no","no","no","no","control"
"472",254,"Weighted Unifrac","Tashiro et al. 2020","Fiberfree","dietary intervention","dietary intervention","fecal",8,8,0.005871409,0.002734028,0.003266245,0.001205327,-1.204686755,0.309160539,"Tashiro","no","no","no","yes","treatment"
"473",110,"Weighted Unifrac","Velasco et al. 2021","C57BL/6J","control","control","fecal",4,4,0.003479882,0.006542351,0.001234275,0.005317254,0.689185768,0.555300181,"Velasco","no","no","no","no","control"
"474",114,"Weighted Unifrac","Velasco et al. 2021","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.003571466,0.002534145,0.000864033,0.001352671,-0.793899559,0.573381245,"Velasco","yes","no","no","no","treatment"
"475",294,"Weighted Unifrac","Weng et al. 2019","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,0.012120097,0.013031285,0.008796418,0.007635093,0.107673738,0.094445917,"Weng","yes","no","no","no","treatment"
"476",298,"Weighted Unifrac","Weng et al. 2019","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,0.009387165,0.008321009,0.004898906,0.003436158,-0.226610357,0.259511483,"Weng","yes","no","no","no","treatment"
"477",302,"Weighted Unifrac","Weng et al. 2019","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.039171596,0.009882847,0.100075725,0.003342169,-0.438694541,0.119745318,"Weng","yes","no","no","no","treatment"
"478",306,"Weighted Unifrac","Weng et al. 2019","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.010398245,0.010731047,0.003065527,0.00365194,0.096901429,0.118210728,"Weng","yes","no","no","no","treatment"
"479",310,"Weighted Unifrac","Weng et al. 2019","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,0.015615301,0.00892943,0.006912114,0.003437572,-1.114717082,0.145076633,"Weng","yes","no","no","no","treatment"
"480",314,"Weighted Unifrac","Weng et al. 2019","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.015358387,0.013892368,0.008344354,0.006690726,-0.19429082,0.073277875,"Weng","yes","no","no","no","treatment"
"481",210,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.04377102,0.025145829,0.062954396,0.037020355,-0.366846495,0.013969151,"Wolfe","yes","no","no","no","treatment"
"482",214,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.018841723,0.010651202,0.035889244,0.020576385,-0.325670366,0.027081925,"Wolfe","yes","no","no","no","treatment"
"483",218,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.042845987,0.028282866,0.061201931,0.047601468,-0.251054627,0.041738225,"Wolfe","yes","no","yes","no","treatment"
"484",222,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.034238339,0.00945991,0.049877647,0.00426702,-0.523600511,0.116551998,"Wolfe","yes","no","yes","no","treatment"
"485",226,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.0195437,0.014670558,0.02286911,4.91e-18,-0.204430365,0.646810027,"Wolfe","yes","no","yes","no","treatment"
"486",230,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.018297959,0.013736613,0.018212505,0.012029821,-0.298810683,0.168766676,"Wolfe","yes","no","no","no","treatment"
"487",234,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.008497894,0.011444296,0.003102442,0.014902078,0.213378145,0.268066591,"Wolfe","yes","no","no","no","treatment"
"488",238,"Weighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,0.025337394,0,0.020722973,NA,NA,NA,"Wolfe","yes","no","yes","no","treatment"
"489",478,"Weighted Unifrac","Zajac et al. 2022","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.014055582,0.012783775,0.008015551,0.004136756,-0.187995666,0.119882296,"Zajac","yes","no","no","no","treatment"
"490",482,"Weighted Unifrac","Zajac et al. 2022","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.018079433,0.02200097,0.010072256,0.012951533,0.345176998,0.076515504,"Zajac","yes","no","no","no","treatment"
"491",486,"Weighted Unifrac","Zajac et al. 2022","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.016704165,0.017755705,0.00856704,0.007032728,0.134501931,0.074904744,"Zajac","yes","no","no","no","treatment"
"492",490,"Weighted Unifrac","Zajac et al. 2022","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.011650742,0.007414762,0.005685085,0.003535943,-0.815878072,0.345425313,"Zajac","yes","no","no","no","treatment"
"493",494,"Weighted Unifrac","Zajac et al. 2022","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,0.020609257,0.016398646,0.013649953,0.012048002,-0.316340379,0.115836925,"Zajac","yes","no","no","no","treatment"
"494",498,"Weighted Unifrac","Zajac et al. 2022","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,0.017195462,0.013917503,0.004124781,0.009324636,-0.431952158,0.379487922,"Zajac","yes","no","no","no","treatment"
"495",502,"Weighted Unifrac","Zajac et al. 2022","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,0.003417487,0.00603433,0.004096439,0.0030745,0.576508638,0.737992207,"Zajac","yes","no","no","no","treatment"
"496",506,"Weighted Unifrac","Zajac et al. 2022","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,0.018576255,0.016326893,0.008391188,0.006651392,-0.310495862,0.091979408,"Zajac","yes","no","no","no","treatment"
"497",510,"Weighted Unifrac","Zajac et al. 2022","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.011214307,0.010506947,0.00705479,0.00435362,-0.112940481,0.286335382,"Zajac","yes","no","no","no","treatment"
"498",514,"Weighted Unifrac","Zajac et al. 2022","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,0.00912807,0.008312363,0.006664264,0.003299184,-0.149503558,0.268849043,"Zajac","yes","no","no","no","treatment"
"499",518,"Weighted Unifrac","Zajac et al. 2022","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.016660812,0.017315061,0.009096709,0.013818954,0.055305257,0.24297244,"Zajac","yes","no","no","no","treatment"
"500",522,"Weighted Unifrac","Zajac et al. 2022","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,0.001824528,0.004004833,0.001623545,5.09e-17,1.190138765,1.348036091,"Zajac","yes","no","no","no","treatment"
"501",526,"Weighted Unifrac","Zajac et al. 2022","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,0.012240045,0.012274435,0.006430678,0.004311701,0.006645873,0.276924625,"Zajac","yes","no","no","no","treatment"
"502",530,"Weighted Unifrac","Zajac et al. 2022","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,0.010013046,0.019468541,0.004431763,0.006423157,1.596706317,0.314371525,"Zajac","yes","no","no","no","treatment"
"503",534,"Weighted Unifrac","Zajac et al. 2022","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,0.009631532,0.010527363,0.008855343,0.005603882,0.110819088,0.451161589,"Zajac","yes","no","no","no","treatment"
"504",538,"Weighted Unifrac","Zajac et al. 2022","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.002358882,0.008474342,0,0.004737604,1.189268261,1.053524038,"Zajac","yes","no","no","no","treatment"
"505",78,"Weighted Unifrac","Zou et al. 2021","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.011015672,0.011078273,0.001456857,0.006972843,0.011218996,0.40001002,"Zou","no","no","no","yes","treatment"
"506",82,"Weighted Unifrac","Zou et al. 2021","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.010614348,0.01135709,0.008997669,1.4e-16,0.073156526,0.8352781,"Zou","yes","no","no","yes","treatment"
"507",86,"Weighted Unifrac","Zou et al. 2021","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,0.015727398,0.017010427,0.012772482,0.010093172,0.096817768,0.50109135,"Zou","yes","no","no","yes","treatment"
"508",90,"Weighted Unifrac","Zou et al. 2021","Control","control","control","fecal",4,4,0.005166863,0.006861575,0.000783467,0.001862304,1.03040449,0.623614506,"Zou","no","no","no","no","control"
