"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"144",144,"Zajac et al. 2022","Chao1","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,-0.330287602,0.203510405,"lnCVR","Zajac","yes","no","no","no","treatment"
"145",145,"Zajac et al. 2022","Chao1","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,0.036481788,0.057733515,"lnCVR","Zajac","yes","no","no","no","treatment"
"146",146,"Zajac et al. 2022","Chao1","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,-0.626908834,1.273955308,"lnCVR","Zajac","yes","no","no","no","treatment"
"147",147,"Zajac et al. 2022","Chao1","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,-0.285631551,0.145122891,"lnCVR","Zajac","yes","no","no","no","treatment"
"148",148,"Zajac et al. 2022","Chao1","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.102342367,0.042087804,"lnCVR","Zajac","yes","no","no","no","treatment"
"149",149,"Zajac et al. 2022","Chao1","APOE3/E4_small bowel","genotype (neutral to prime Alzheimer)","genotype","small bowel",NA,1,NA,NA,"lnCVR","Zajac","yes","no","no","no","treatment"
"150",150,"Zajac et al. 2022","Chao1","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,-0.368006595,0.228307274,"lnCVR","Zajac","yes","no","no","no","treatment"
"151",151,"Zajac et al. 2022","Chao1","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,-1.117840169,0.382116966,"lnCVR","Zajac","yes","no","no","no","treatment"
"152",152,"Zajac et al. 2022","Chao1","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,-0.101858713,0.076035783,"lnCVR","Zajac","yes","no","no","no","treatment"
"153",153,"Zajac et al. 2022","Chao1","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,-0.357307516,0.768155983,"lnCVR","Zajac","yes","no","no","no","treatment"
"154",154,"Zajac et al. 2022","Chao1","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,-0.68776757,0.206426143,"lnCVR","Zajac","yes","no","no","no","treatment"
"155",155,"Zou et al. 2021","Chao1","Control","control","control","fecal",4,4,0.210002608,0.450587393,"lnCVR","Zou","no","no","no","no","control"
"156",156,"Zou et al. 2021","Chao1","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,0.509544009,0.448961198,"lnCVR","Zou","yes","no","no","yes","treatment"
"157",157,"Zou et al. 2021","Chao1","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,1.230139604,1.377904824,"lnCVR","Zou","yes","no","no","yes","treatment"
"158",158,"Zou et al. 2021","Chao1","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.280655142,0.316637874,"lnCVR","Zou","no","no","no","yes","treatment"
"159",159,"Cheema & Pluznick 2019","Evenness","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,-0.233399528,0.755046134,"lnCVR","Cheema","no","no","no","no","treatment"
"160",160,"Cheema & Pluznick 2019","Evenness","Control","control","control","fecal",3,3,-0.106369549,0.77040877,"lnCVR","Cheema","no","no","no","no","control"
"161",161,"Ellis et al. 2021","Evenness","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,-0.739083496,0.195068962,"lnCVR","Ellis","no","no","no","yes","treatment"
"162",162,"Ellis et al. 2021","Evenness","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,-0.174084584,0.194904476,"lnCVR","Ellis","no","no","no","yes","treatment"
"163",163,"Ellis et al. 2021","Evenness","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.031754735,0.194716951,"lnCVR","Ellis","no","no","no","yes","treatment"
"164",164,"Ellis et al. 2021","Evenness","2H7PK","dietary intervention","dietary intervention","cecal",7,7,-0.866569804,0.19526612,"lnCVR","Ellis","no","no","no","yes","treatment"
"165",165,"Ellis et al. 2021","Evenness","Combo","dietary intervention","dietary intervention","cecal",10,9,-0.699185054,0.13236403,"lnCVR","Ellis","no","no","no","yes","treatment"
"166",166,"Ellis et al. 2021","Evenness","Control (unlabeled PK)","control","control","cecal",7,7,-0.480186883,0.1947174,"lnCVR","Ellis","no","no","no","no","control"
"167",167,"Ellis et al. 2021","Evenness","MK4","dietary intervention","dietary intervention","cecal",10,10,-0.083562683,0.12379345,"lnCVR","Ellis","no","no","no","yes","treatment"
"168",168,"Ellis et al. 2021","Evenness","MK9","dietary intervention","dietary intervention","cecal",9,9,-0.504287449,0.14091863,"lnCVR","Ellis","no","no","no","yes","treatment"
"169",169,"Ellis et al. 2021","Evenness","PK","dietary intervention","dietary intervention","cecal",10,9,-0.311968297,0.132346368,"lnCVR","Ellis","no","no","no","yes","treatment"
"170",170,"Ellis et al. 2021","Evenness","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.134568106,0.152275231,"lnCVR","Ellis","no","no","no","yes","treatment"
"171",171,"Gubert et al. 2022","Evenness","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.186964344,0.183087257,"lnCVR","Gubert","yes","no","no","no","treatment"
"172",172,"Gubert et al. 2022","Evenness","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.826489215,0.16651033,"lnCVR","Gubert","yes","no","no","no","treatment"
"173",173,"Gubert et al. 2022","Evenness","R6/1_control","genotype","genotype","fecal",8,8,0.176027705,0.167358794,"lnCVR","Gubert","yes","no","no","no","treatment"
"174",174,"Gubert et al. 2022","Evenness","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,-0.131222521,0.168622496,"lnCVR","Gubert","no","no","no","no","treatment"
"175",175,"Gubert et al. 2022","Evenness","WT_Exercise","exercise","exercise","fecal",8,8,-0.324095508,0.165365633,"lnCVR","Gubert","no","no","no","no","treatment"
"176",176,"Gubert et al. 2022","Evenness","WT_control","control","control","fecal",8,8,-0.066283356,0.171650666,"lnCVR","Gubert","no","no","no","no","control"
"177",177,"Ibrahim et al. 2019","Evenness","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.412065142,0.475336209,"lnCVR","Ibrahim","no","no","yes","no","treatment"
"178",178,"Ibrahim et al. 2019","Evenness","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.372552203,0.21812213,"lnCVR","Ibrahim","yes","yes","yes","no","treatment"
"179",179,"Ibrahim et al. 2019","Evenness","Control","control","control","fecal",4,4,-0.785941107,0.447483676,"lnCVR","Ibrahim","no","no","no","no","control"
"180",180,"Ibrahim et al. 2019","Evenness","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.785101215,0.445485387,"lnCVR","Ibrahim","yes","yes","no","no","treatment"
"181",181,"Kozik et al. 2019","Evenness","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.586306915,0.195792975,"lnCVR","Kozik","no","no","yes","no","treatment"
"182",182,"Kozik et al. 2019","Evenness","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.963335958,0.385154605,"lnCVR","Kozik","no","no","yes","no","treatment"
"183",183,"Kozik et al. 2019","Evenness","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnCVR","Kozik","no","no","yes","no","treatment"
"184",184,"Kozik et al. 2019","Evenness","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,-0.160763757,0.256993575,"lnCVR","Kozik","no","no","yes","no","treatment"
"185",185,"Kozik et al. 2019","Evenness","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,-0.336112319,0.199151575,"lnCVR","Kozik","no","no","yes","no","treatment"
"186",186,"Kozik et al. 2019","Evenness","Control-cecal","control","control","cecal",2,3,0.157236017,1.376885333,"lnCVR","Kozik","no","no","no","no","control"
"187",187,"Kozik et al. 2019","Evenness","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnCVR","Kozik","no","no","no","no","control"
"188",188,"Kozik et al. 2019","Evenness","Control-fecal","control","control","fecal",2,3,1.765979376,1.411537584,"lnCVR","Kozik","no","no","no","no","control"
"189",189,"Kozik et al. 2019","Evenness","Control-fecal_T0","control","control","fecal",2,3,-0.113462523,1.384067707,"lnCVR","Kozik","no","no","no","no","control"
"190",190,"Li et al. 2020","Evenness","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"191",191,"Li et al. 2020","Evenness","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"192",192,"Li et al. 2020","Evenness","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"193",193,"Lindheim et al. 2018","Evenness","PRJNA445979","mixed","mixed","fecal",76,93,0.143615705,0.013218981,"lnCVR","Lindheim","no","no","no","no","treatment"
"194",194,"Lyte et al. 2022","Evenness","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.335977401,0.060873095,"lnCVR","Lyte","no","no","no","yes","treatment"
"195",195,"Lyte et al. 2022","Evenness","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.022739502,0.059238687,"lnCVR","Lyte","no","no","no","yes","treatment"
"196",196,"Lyte et al. 2022","Evenness","chow-control","control","control","fecal",20,19,-0.870856638,0.057889529,"lnCVR","Lyte","no","no","no","no","control"
"197",197,"Lyte et al. 2022","Evenness","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,-0.173987065,0.05594361,"lnCVR","Lyte","no","no","no","no","treatment"
"198",198,"Pizarro et al. 2021","Evenness","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,-0.560258977,0.143644576,"lnCVR","Pizarro","no","no","no","yes","treatment"
"199",199,"Pizarro et al. 2021","Evenness","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.557243719,0.144442162,"lnCVR","Pizarro","no","no","no","yes","treatment"
"200",200,"Pizarro et al. 2021","Evenness","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.585339665,0.143892614,"lnCVR","Pizarro","no","no","no","yes","treatment"
"201",201,"Pizarro et al. 2021","Evenness","Water-T0","control","control","fecal",10,8,0.195119655,0.143943531,"lnCVR","Pizarro","no","no","no","no","control"
"202",202,"Ramakrishna et al. 2020","Evenness","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"203",203,"Ramakrishna et al. 2020","Evenness","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,0.573266883,1.395201885,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"204",204,"Ramakrishna et al. 2020","Evenness","Control","control","control","fecal",2,3,0.01927576,1.376511109,"lnCVR","Ramakrishna","no","no","no","no","control"
"205",205,"Ramakrishna et al. 2020","Evenness","HSV1-infected","infection","infection","fecal",4,5,-0.76432616,0.379750178,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"206",206,"Ramakrishna et al. 2020","Evenness","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,0.777579306,1.377928946,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"207",207,"Ramakrishna et al. 2020","Evenness","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"208",208,"Ramakrishna et al. 2020","Evenness","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"209",209,"Ramakrishna et al. 2020","Evenness","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,1.03191996,0.314336143,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"210",210,"Son et al. 2019","Evenness","Control","control","control","fecal",8,8,1.967375251,0.173757874,"lnCVR","Son","no","no","no","no","control"
"211",211,"Son et al. 2019","Evenness","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,-0.869129824,0.172617665,"lnCVR","Son","yes","no","yes","no","treatment"
"212",212,"Song et al. 2020","Evenness","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","no","treatment"
"213",213,"Song et al. 2020","Evenness","AOM/DSS E2-supplemented","colitis and inflammatory intervention, dietary intervention","colitis and inflammatory intervention, dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","yes","treatment"
"214",214,"Song et al. 2020","Evenness","Control","control","control","fecal",5,11,-0.765510482,0.214753816,"lnCVR","Song","no","no","no","no","control"
"215",215,"Song et al. 2020","Evenness","E2-supplemented","dietary intervention","dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","no","yes","treatment"
"216",216,"Song et al. 2020","Evenness","ovariectomized ","hormonal intervention","hormonal intervention","fecal",NA,7,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"217",217,"Song et al. 2021","Evenness","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.168219975,0.178774759,"lnCVR","Song","no","no","yes","no","treatment"
"218",218,"Song et al. 2021","Evenness","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.188605774,0.178104908,"lnCVR","Song","yes","no","yes","no","treatment"
"219",219,"Song et al. 2021","Evenness","Control","control","control","fecal",8,8,1.805689424,0.180934442,"lnCVR","Song","no","no","no","no","control"
"220",220,"Song et al. 2021","Evenness","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,-0.01345612,0.170522207,"lnCVR","Song","yes","no","no","no","treatment"
"221",221,"Song et al. 2022","Evenness","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.483395269,0.168434693,"lnCVR","Song","no","no","yes","no","treatment"
"222",222,"Song et al. 2022","Evenness","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.525312219,0.32058102,"lnCVR","Song","no","yes","yes","no","treatment"
"223",223,"Song et al. 2022","Evenness","Control","control","control","fecal",4,4,-0.42001913,0.45103317,"lnCVR","Song","no","no","no","no","control"
"224",224,"Song et al. 2022","Evenness","orchiectomized","hormonal intervention (neutered male)","hormonal intervention","fecal",4,NA,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"225",225,"Song et al. 2022","Evenness","orchiectomized_ AOM/DSS","colitis and inflammatory intervention, hormonal intervention (neutered male)","colitis and inflammatory intervention, hormonal intervention ","fecal",10,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"226",226,"Song et al. 2022","Evenness","orchiectomized_ AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (mixed)","colitis and inflammatory intervention, hormonal intervention","fecal",6,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"227",227,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,-0.323889437,0.664981486,"lnCVR","Strickland","no","no","no","no","treatment"
"228",228,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.737870592,0.578953832,"lnCVR","Strickland","no","no","no","no","treatment"
"229",229,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,-0.389943616,0.438652312,"lnCVR","Strickland","no","no","no","no","treatment"
"230",230,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"231",231,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,-1.209468955,0.403115926,"lnCVR","Strickland","no","no","no","no","treatment"
"232",232,"Strickland et al. 2021","Evenness","Sigmodon_fulviventer_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
